original_name,cleaned_name,vk_name,vk_url,match_quality,relevance_score,city
satrapezo michurinskij prospekt olimpijskaya derevnya 3,satrapezo michurinskij prospekt olimpijskaya derevnya 3,Не найдено,,not_found,0,не найден
vkusnye osetinskie pirogi alewv,vkusnye osetinskie pirogi,"Точка еды / Доставка / Пицца, роллы / Москва",https://vk.com/foodpointru,excellent,20,Москва
peri zhumx,peri,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
kafebar nebesa profsoyuznaya 126k2,kafebar nebesa profsoyuznaya,"кафе-бар ""BEERTIME""|РОЛЛЫ ПИЦЦА|ДОСТАВКА СЫЗРАНЬ",https://vk.com/beertimesyzran,excellent,12,не указан
pirogi podigorski hqinv,pirogi podigorski,Закрытая пицца-пироги в г. Москва  с доставкой,https://vk.com/dostavkapiccymoskva,excellent,16,Москва
xinkaliko ,xinkaliko,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
shef kspress,shef kspress,SHEF SUSHI_ Кунгур/доставка/суши/роллы/пицца,https://vk.com/kungurshef,excellent,21,не указан
pekarnya pirogovaya lavka,pekarnya pirogovaya,Закрытая пицца-пироги в г. Москва  с доставкой,https://vk.com/dostavkapiccymoskva,excellent,16,Москва
chito gvrito untkp,chito gvrito,Кафе «ЧИТО-ГВРИТО» / Тверь |Доставка еды/,https://vk.com/chitogvrito_tver,fair,4,не указан
eshtoril,eshtoril,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
pizzarion nw,pizzarion nw,Доставка еды на дом в Москве,https://vk.com/pizarion,excellent,12,Москва
the plyushka fhs8q,the plyushka,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
buffalo rqhpg artekovskaya 1a,buffalo rqhpg artekovskaya 1a,Рестораны Одессы,https://vk.com/odessarestaurants,poor,2,не указан
crazy brothers gsnzt,crazy brothers,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
uyutnyy dvorik,uyutnyy,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
polnayachasha,polnayachasha,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
konditerskaya ctzms,konditerskaya,RUSPIZZA Москва | Доставка пиццы,https://vk.com/ruspizza.moscow,excellent,21,Москва
hotbery olhov,hotbery,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
skandinavskie myasnye i rybnye torty,skandinavskie myasnye i rybnye,Сеть ресторанов Грабли | Москва,https://vk.com/grablyru,excellent,12,Москва
the shaurma h74g5,the shaurma,frescopizza.ru Доставка суши|доставка пиццы|пицца|суши|пицца на дом|суши надом|заказ пиццы|суши,https://vk.com/club13748489,excellent,17,не указан
osetinskie pirogi ot zabavy tbiec,osetinskie pirogi ot zabavy,Осетинские пироги с доставкой в течение 1 часа по Москве (Доставка еды и обедов в офис и на дом),https://vk.com/club17858520,good,9,Москва
vypechka ot eliny,vypechka ot,СЛАЙС пицца | Доставка пиццы Москва,https://vk.com/slicepizza,excellent,18,Москва
family catering 3l4x5,family catering,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
pekarnya pirogov gvrhz,pekarnya pirogov,Доставка пиццы в Москве | Милан Пицца,https://vk.com/milanpizzadostavka,excellent,18,Москва
Chaihona for you,Chaihona for you,"Пицца ""For You""",https://vk.com/club32901890,excellent,20,не указан
misti ark,misti ark,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
bakery7a,bakery7a,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
xmel i bpxem chertanovskaya 48a,xmel i bpxem chertanovskaya 48a,Не найдено,,not_found,0,не найден
kovboj,kovboj,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
sherif,sherif,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
terrasa ndfao,terrasa,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
kishpie wftsy,kishpie,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
schastlivaya konditerskaya tq7gl,schastlivaya konditerskaya,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
grin palas grina 15,grin palas grina 15,Не найдено,,not_found,0,не найден
